System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,json in csv file,Link,Citations,Inclusion criteria,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training cost (2020 USD),Compute Sponsor Categorization
MetaMimic,Games,,Google,Industry,"Tom Le Paine, Sergio Gomez",11/10/2018,2018,One-Shot High-Fidelity Imitation: Training Large-Scale Deep Nets with RL,https://arxiv.org/abs/1810.05017,1.30E+01,,2.20E+07,,,,,,,,,,,,,Industry
GPipe (Amoeba),Vision,Image classification,Google,Industry,"Y Huang, Y Cheng, A Bapna, O Firat",16/11/2018,2018,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://arxiv.org/abs/1811.06965,4.86E+02,,5.57E+08,,ImageNet,1.28E+06,,,,,,,,,,Industry
GPipe (Transformer),Language,Translation,Google,Industry,"Y Huang, Y Cheng, A Bapna, O Firat",16/11/2018,2018,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,https://arxiv.org/abs/1811.06965,4.86E+02,,6.00E+09,,,,,,,,,,,,,Industry
,Vision,Semantic segmentation,Chinese Academy of Sciences,Industry - Academia Collaboration (Academia leaning),"Jun Fu, Jing Liu, Haijie Tian, Yong Li, Yongjun Bao, Zhiwei Fang, Hanqing Lu",21/04/2019,2019,Dual Attention Network for Scene Segmentation,https://openaccess.thecvf.com/content_CVPR_2019/html/Fu_Dual_Attention_Network_for_Scene_Segmentation_CVPR_2019_paper.html,1.99E+03,,,,,2.0E+10,,,,,,,,,,Industry
Transformer ELMo,Language,"Univeristy of Washington, Allen Instititute for Artificial Intelligence",AI2,Industry - Academia Collaboration (Industry leaning),"ME Peters, M Neumann, L Zettlemoyer",01/01/2019,2019,Dissecting Contextual Word Embeddings: Architecture and Representation,https://www.semanticscholar.org/paper/Dissecting-Contextual-Word-Embeddings%3A-Architecture-Peters-Neumann/ac11062f1f368d97f4c826c317bf50dcc13fdb59,1.96E+02,,4.65E+08,,,,,,,,,,,,,Industry
Decoupled weight decay regularization,Vision,Image classification,University of Freiburg,Academia,Ilya Loshchilov and Frank Hutter,04/01/2019,2019,Decoupled weight decay regularization.,https://arxiv.org/abs/1711.05101,2.06E+03,,3.65E+07,2.5E+18,CIFAR-10,5.00E+04,,1.73E+09,,,,,,,,Academia
MT-DNN,Language,,Microsoft,Industry,"X Liu, P He, W Chen, J Gao",31/01/2019,2019,Multi-Task Deep Neural Networks for Natural Language Understanding,https://arxiv.org/abs/1901.11504,5.53E+02,,3.30E+08,,,,,,,,,,,Encoder-decoder,,Industry
Hanabi 4 player,Games,Hanabi,"DeepMind, University of Oxford, Google Brain, Carnegie Mellon University, ",Industry - Academia Collaboration (Industry leaning),,01/02/2019,2019,The Hanabi Challenge: A New Frontier for AI Research,https://arxiv.org/abs/1902.00506,1.15E+02,,7.64E+05,9.2E+16,,,,,,,,,,,,Industry
GPT-2,Language,,OpenAI,Industry,"A Radford, J Wu, R Child, D Luan, D Amodei",14/02/2019,2019,Language Models are Unsupervised Multitask Learners,https://openai.com/blog/better-language-models/,1.70E+03,Highly cited,1.50E+09,1.5E+21,,3.00E+09,,3.40E+12,,,40,,,,50000,Industry
ProxylessNAS,Vision,,MIT,Academia,"Han Cai, Ligeng Zhu, and Song Han",23/02/2019,2019,ProxylessNAS: Direct neural architecture search on target task and hardware,https://arxiv.org/abs/1812.00332,9.96E+02,,,3.7E+19,ImageNet,1.28E+06,,2.63E+11,200,5.1,,,,,,Academia
Cross-lingual alignment,,,"Tel Aviv University, MIT",Academia,"Tal Schuster, Ori Ram, Regina Barzilay, and Amir Globerson.",04/04/2019,2019,"Cross-lingual alignment of contextual word embeddings, with applications to zero- shot dependency parsing.",https://arxiv.org/abs/1902.09492,1.29E+02,,,2.6E+18,,,,3.66E+12,,,,,,,,Academia
,Language,Speech recognition,Google Brain,Industry," Daniel S. Park, William Chan, Yu Zhang, Chung-Cheng Chiu, Barret Zoph, Ekin D. Cubuk, Quoc V. Le",18/04/2019,2019,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,https://arxiv.org/abs/1904.08779,1.41E+03,Highly cited,,,,,,,,,,,,Encoder-decoder,,Industry
ResNet-50 Billion-scale,Vision,Image classification,OpenAI,Industry,"A Radford, J Wu, R Child, D Luan, D Amodei",02/05/2019,2019,Language Models are Unsupervised Multitask Learners,https://paperswithcode.com/paper/language-models-are-unsupervised-multitask,1.70E+03,Highly cited,2.60E+07,,,,,,,,,,,,,Industry
ResNeXt-101 Billion-scale,Vision,Image classification,Facebook AI,Industry,"IZ Yalniz, H Jégou, K Chen, M Paluri",02/05/2019,2019,Billion-scale semi-supervised learning for image classification,https://arxiv.org/abs/1905.00546,1.56E+02,,1.93E+08,,,,,,,,,,,,,Industry
CPC v2,Drawing,Image completion,"Deepmind, Berkeley",Industry - Academia Collaboration (Industry leaning),,22/05/2019,2019,Data-Efficient Image Recognition with Contrastive Predictive Coding,https://arxiv.org/abs/1905.09272,4.91E+02,,3.03E+08,,,,,,,,,,,,,Industry
EfficientNet-L2,Vision,Image classification,Google,Industry,"M Tan, Q Le",28/05/2019,2019,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,https://arxiv.org/abs/1905.11946,3.19E+03,Highly cited,4.80E+08,,,,,3.90E+08,,,,,,Score,,Industry
MnasNet-A1 + SSDLite,Vision,Performing image classification and object detection on mobile devices,Google ,Industry,"Mingxing Tan, Bo Chen, Ruoming Pang, Vijay Vasudevan, Mark Sandler, Andrew Howard, Quoc V. Le",29/05/2019,2019,MnasNet: Platform-Aware Neural Architecture Search for Mobile,https://arxiv.org/abs/1807.11626,1.43E+03,Highly cited,4.90E+06,1.5E+21,MS COCO,1.18E+05,,,,,,,,,,Industry
MnasNet-A3,Vision,Performing image classification and object detection on mobile devices,Google ,Industry,"Mingxing Tan, Bo Chen, Ruoming Pang, Vijay Vasudevan, Mark Sandler, Andrew Howard, Quoc V. Le",29/05/2019,2019,MnasNet: Platform-Aware Neural Architecture Search for Mobile,https://arxiv.org/abs/1807.11626,1.43E+03,Highly cited,5.20E+06,1.5E+21,ImageNet,1.28E+06,,,,,,,,,,Industry
Grover-Mega,Language,,University of Washington,Industry - Academia Collaboration (Academia leaning),"R Zellers, A Holtzman, H Rashkin, Y Bisk",29/05/2019,2019,Defending Against Neural Fake News,https://arxiv.org/abs/1905.12616,2.72E+02,,1.50E+09,,,,,,,,,,,,,Industry
DLRM-2020,Recommendation,,Facebook AI,Industry,"M Naumov, D Mudigere, HJM Shi, J Huang",31/05/2019,2019,Deep Learning Recommendation Model for Personalization and Recommendation Systems,https://arxiv.org/abs/1906.00091,1.40E+02,,1.00E+11,4.0E+18,,,,,,,,,,,,Industry
FTW,Games,Capture the flag,DeepMind,Industry,"M Jaderberg, WM Czarnecki, I Dunning, L Marris",31/05/2019,2019,Human-level performance in 3D multiplayer games with population-based reinforcement learning,https://deepmind.com/research/publications/capture-the-flag,4.25E+02,,1.26E+08,7.3E+21,,,,1.21E+12,,,,,,,,Industry
XLM,Language,,Facebook,Industry,"G Lample, A Conneau",01/06/2019,2019,Cross-lingual Language Model Pretraining,https://arxiv.org/abs/1901.07291,6.78E+02,,6.65E+08,,,,,,,,,,,,,Industry
XLNet,Language,,"Carnegie Mellon University, Google AI Brain ",Industry - Academia Collaboration,"Z Yang, Z Dai, Y Yang, J Carbonell",01/06/2019,2019,XLNet: Generalized Autoregressive Pretraining for Language Understanding,https://arxiv.org/abs/1906.08237,3.06E+03,Highly cited,3.40E+08,,,,,,,,,,,,,Industry
AMDIM,Drawing,Image completion,Microsoft Research,Industry,"Philip Bachman, R Devon Hjelm, William Buchwalter",03/06/2019,2019,Learning Representations by Maximizing Mutual Information Across Views,https://arxiv.org/abs/1906.00910,4.86E+02,,6.26E+08,,,,,,,,,,,,,Industry
FixRes ResNeXt-101 WSL,Vision,Image classification,Facebook AI,Industry,"H Touvron, A Vedaldi, M Douze, H Jégou",14/06/2019,2019,Fixing the train-test resolution discrepancy,https://arxiv.org/abs/1906.06423,1.65E+02,,8.29E+08,,,9.40E+08,,,,,,,,,1.20E+07,Industry
RoBERTa,Language,,Facebook,Industry,"Y Liu, M Ott, N Goyal, J Du, M Joshi, D Chen",01/07/2019,2019,RoBERTa: A Robustly Optimized BERT Pretraining Approach,https://arxiv.org/abs/1907.11692,1.51E+03,Highly cited,3.55E+08,,,,,,,,,,,,,Industry
BigBiGAN,Drawing,Image completion,Google,Industry,"Spyros Gidaris, Praveer Singh, Nikos Komodakis",04/07/2019,2019,Large Scale Adversarial Representation Learning,https://arxiv.org/abs/1907.02544,2.52E+02,,8.60E+07,,,,,,,,,,,,,Industry
ObjectNet,Vision,Object recognition,MIT,Academia,"Andrei Barbu, David Mayo, Julian Alverio, William Luo, Christopher Wang, Dan Gutfre- und, Josh Tenenbaum, and Boris Katz",06/09/2019,2019,Objectnet: A large-scale bias-controlled dataset for pushing the limits of object recognition models,https://papers.nips.cc/paper/2019/file/97af07a14cacba681feacf3012730892-Paper.pdf,2.39E+03,Highly cited,3.80E+07,1.9E+19,Internal data,5.00E+04,,,108,,,,,,,Academia
Hide and Seek,Games,Hide and Seek,OpenAI,Industry,"B Baker, I Kanitscheider, T Markov, Y Wu",17/09/2019,2019,Emergent Tool Use From Multi-Agent Autocurricula,https://openai.com/blog/emergent-tool-use/,2.24E+02,,1.60E+06,3.0E+17,,3.17E+10,,,,,,,,,,Industry
Megatron-LM,Language,,NVIDIA,Industry,"M Shoeybi, M Patwary, R Puri, P LeGresley",17/09/2019,2019,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,https://arxiv.org/abs/1909.08053,2.46E+02,,8.30E+09,9.1E+21,,3.48E+10,,1.80E+13,,,,,,,,Industry
Megatron-BERT,Language,,NVIDIA,Industry,"M Shoeybi, M Patwary, R Puri, P LeGresley",17/09/2019,2019,Megatron-LM: Training Multi-Billion Parameter Language Models Using Model Parallelism,https://arxiv.org/abs/1909.08053,2.46E+02,,3.90E+09,5.7E+22,,3.48E+10,,,,,,,,,,Industry
ALBERT,Language,,"Google, TTIC",Industry - Academia Collaboration,"Z Lan, M Chen, S Goodman, K Gimpel",26/09/2019,2019,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,https://arxiv.org/abs/1909.11942,1.66E+03,Highly cited,0.00E+00,,,3.30E+09,,2.25E+10,,,,,,,,Industry
AlphaX-1,Vision,Neural architecture search for computer vision,Brown and Facebook AI Research,Industry - Academia Collaboration (Academia leaning),"Linnan Wang, Yiyang Zhao, Yuu Jinnai, Yuandong Tian, Rodrigo Fonseca1",02/10/2019,2019,AlphaX: eXploring Neural Architectures with Deep Neural Networks and Monte Carlo Tree Search,https://arxiv.org/abs/1903.11059,5.00E+01,,5.79E+08,7.6E+18,ImageNet,,,,,,,,,,,Industry
DistilBERT,Language,Text autocompletion,HuggingFace,Industry,"Victor Sanh, Lysandre Debut, Julien Chaumond, Thomas Wolf",02/10/2019,2019,"DistilBERT, a distilled version of BERT: smaller, faster, cheaper and lighter",https://arxiv.org/abs/1910.01108,8.95E+02,,6.60E+07,,,,,,,,,,,Perplexity of next token,,Industry
Rubik's cube,Robotics,,Open AI,Industry,"Ilge Akkaya, Marcin Andrychowicz, Maciek Chociej, Mateusz Litwin, Bob McGrew, Arthur Petron, Alex Paino, Matthias Plappert, Glenn Powell, Raphael Ribas, Jonas Schneider, Nikolas Tezak, Jerry Tworek, Peter Welinder, Lilian Weng, Qiming Yuan, Wojciech Zaremba, Lei Zhang
",15/10/2019,2019,Solving Rubik’s Cube with a Robot Hand,https://arxiv.org/abs/1910.07113,2.27E+02,,2.78E+07,8.5E+20,,6.24E+07,,,,,,,,,,Industry
T5-3B,Language,Text autocompletion,Google,Industry,"Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",23/10/2019,2019,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://arxiv.org/abs/1910.10683,1.54E+03,Highly cited,3.00E+09,1.0E+22,Colossal Clean Crawled Corpus (C4),1.50E+11,,,,,,,,,,Industry
T5-11B,Language,Text autocompletion,Google,Industry,"Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, Peter J. Liu",23/10/2019,2019,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://arxiv.org/abs/1910.10683,1.54E+03,Highly cited,1.10E+10,4.1E+22,Colossal Clean Crawled Corpus (C4),1.50E+11,,,,,,,,,,Industry
BART-large,Language,,Facebook AI,Industry,"Mike Lewis, Yinhan Liu, Naman Goyal, Marjan Ghazvininejad, Abdelrahman Mohamed, Omer Levy, Ves Stoyanov, Luke Zettlemoyer",29/10/2019,2019,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",https://arxiv.org/abs/1910.13461,1.01E+03,Highly cited,4.06E+08,,,,,,,,,,,,,Industry
AlphaStar,Games,StarCraft,DeepMind,Industry,"Oriol Vinyals,Igor Babuschkin,Wojciech M. Czarnecki,Michaël Mathieu,Andrew Dudzik,Junyoung Chung,David H. Choi,Richard Powell,Timo Ewalds,Petko Georgiev,Junhyuk Oh,Dan Horgan,Manuel Kroiss,Ivo Danihelka,Aja Huang,Laurent Sifre,Trevor Cai,John P. Agapiou,Max Jaderberg,Alexander S. Vezhnevets,Rémi Leblond,Tobias Pohlen,Valentin Dalibard,David Budden,Yury Sulsky,James Molloy,Tom L. Paine,Caglar Gulcehre,Ziyu Wang,Tobias Pfaff,Yuhuai Wu,Roman Ring,Dani Yogatama,Dario Wünsch,Katrina McKinney,Oliver Smith,Tom Schaul,Timothy Lillicrap,Koray Kavukcuoglu,Demis Hassabis,Chris Apps,David Silver",30/10/2019,2019,Grandmaster level in StarCraft II using multi-agent reinforcement learning,https://www.deepmind.com/blog/alphastar-grandmaster-level-in-starcraft-ii-using-multi-agent-reinforcement-learning,1.04E+03,Highly cited,1.39E+08,2.0E+23,,,,,,,,,,,,Industry
Noisy Student (L2),Vision,Image classification,"Carnegie Mellon University, Google",Industry - Academia Collaboration (Industry leaning),"Q Xie, MT Luong, E Hovy",11/11/2019,2019,Self-training with Noisy Student improves ImageNet classification,https://paperswithcode.com/paper/self-training-with-noisy-student-improves/review/,5.76E+02,,4.80E+08,,,,,1.04E+12,,,,,,,,Industry
MoCo,Drawing,Image completion,Facebook AI,Industry,"Kaiming He, Haoqi Fan, Yuxin Wu, Saining Xe, Ross Girshick",13/11/2019,2019,Momentum Contrast for Unsupervised Visual Representation Learning,https://arxiv.org/abs/1911.05722,1.72E+03,Highly cited,3.75E+08,,,,,,,,,,,,,Industry
MuZero,Games,Atari Games,DeepMind,Industry,"J Schrittwieser, I Antonoglou, T Hubert, K Simonyan",19/11/2019,2019,Mastering Atari Go Chess and Shogi by Planning with a Learned Model,https://arxiv.org/abs/1911.08265v2,4.12E+02,SOTA improvement,3.69E+07,4.8E+19,,2.00E+10,,,,,,,,,,Industry
StarGAN v2,Drawing,,"NAVER AI Lab, Yonsei University, Swiss Federal Institute of Technology ",Industry - Academia Collaboration (Industry leaning),"Yunjey Choi, Youngjung Uh, Jaejun Yoo, Jung-Woo Ha",4/12/2019,2019,StarGAN v2: Diverse Image Synthesis for Multiple Domains,https://arxiv.org/abs/1912.01865,2.33E+02,,,,,,,,,,,,,,,Industry
OpenAI Five Rerun,Games,Dota 2,OpenAI,Industry,"Christopher Berner, Greg Brockman, Brooke Chan, Vicki Cheung,
Przemysław “Psyho"" Dębiak, Christy Dennison, David Farhi, Quirin Fischer, Shariq Hashme, Chris Hesse, Rafal Józefowicz, Scott Gray, Catherine Olsson, Jakub Pachocki, Michael Petrov, Henrique Pondé de Oliveira Pinto, Jonathan Raiman, Tim Salimans, Jeremy Schlatter, Jonas Schneider, Szymon Sidor, Ilya Sutskever, Jie Tang, Filip Wolski, Susan Zhang",13/12/2019,2019,Dota 2 with Large Scale Deep Reinforcement Learning,https://cdn.openai.com/dota-2.pdf,3.49E+02,SOTA improvement,1.59E+08,1.3E+22,,5.31E+10,,,,,,,,,,Industry
OpenAI Five,Games,Dota 2,OpenAI,Industry,"J Raiman, S Zhang, F Wolski",13/12/2019,2019,Dota 2 with Large Scale Deep Reinforcement Learning,https://arxiv.org/abs/1912.06680,4.54E+02,SOTA improvement,1.59E+08,6.7E+22,,4.54E+11,,,,,,,,,,Industry
Big Transfer (BiT-L),Vision,Image classification,Google Research,Industry,"A Kolesnikov, L Beyer, X Zhai, J Puigcerver, J Yung",24/12/2019,2019,Large scale learning of general visual representations for transfer,https://arxiv.org/abs/1912.11370,5.10E+01,,9.28E+08,,,,,,,,,,,,,Industry
DLRM-2021,Recommendation,,Facebook AI ,Industry,"D Mudigere, Y Hao, J Huang, A Tulloch",01/07/2020,2020,"High- performance, Distributed Training of Large scale Deep Learning Recommendation Models",https://www.arxiv-vanity.com/papers/2104.05158/,2.00E+00,,1.00E+12,3.0E+20,,,,,,,,,,,1.50E+06,Industry
AlphaFold,Other,Protein folding prediction,DeepMind,Industry,"Andrew W. Senior, Richard Evans, John Jumper, James Kirkpatrick, Laurent Sifre, Tim Green, Chongli Qin, Augustin Žídek, Alexander W. R. Nelson, Alex Bridgland, Hugo Penedones, Stig Petersen, Karen Simonyan, Steve Crossan, Pushmeet Kohli, David T. Jones, David Silver, Koray Kavukcuoglu & Demis Hassabis",15/01/2020,2020,Improved protein structure prediction using potentials from deep learning,https://www.nature.com/articles/s41586-019-1923-7,8.40E+02,,6.90E+07,1.0E+20,,,,,,,,,,Score,,Industry
ERNIE-GEN (large),Language,Language Generation,Baidu,Industry,"Dongling Xiao, Han Zhang, Yukun Li, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang",06/08/2020,2020,ERNIE-GEN: An Enhanced Multi-Flow Pre-training and Fine-tuning Framework for Natural Language Generation,https://arxiv.org/abs/2001.11314,3.70E+01,,3.40E+08,,,,,,,,16GB,,,,,Industry
Meena,Language,Text autocompletion,Google AI,Industry,"Dongling Xiao, Han Zhang, Yukun Li, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang",28/01/2020,2020,Towards a Human-like Open-Domain Chatbot,https://arxiv.org/abs/2001.09977,2.57E+02,,2.60E+09,1.1E+23,,4.00E+10,,,,,,,,,,Industry
Theseus 6/768,Language,Text autocompletion,"UC San Diego, Beihang University, Microsoft",Industry - Academia Collaboration,"Canwen Xu, Wangchunshu Zhou, Tao Ge, Furu Wei, Ming Zhou",07/02/2020,2020,BERT-of-Theseus: Compressing BERT by Progressive Module Replacing,https://arxiv.org/abs/2002.02925,6.70E+01,,6.60E+07,,,,,1.13E+10,,,,,,,,Industry
ALBERT-xxlarge,Language,,"Google research, Toyota Technological Institute at Chicago",Industry - Academia Collaboration,"Zhenzhong Lan, Mingda Chen, Sebastian Goodman, Kevin Gimpel, Piyush Sharma, and Radu Soricut",09/02/2020,2020,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations.,https://arxiv.org/abs/1909.11942,2.18E+03,Highly cited,2.35E+08,2.5E+21,,3.30E+09,,2.50E+12,17408,,,,,,,Industry
Turing NLG,Language,Text autocompletion,Microsoft,Industry,C Rosset,13/02/2020,2020,Turing-NLG: A 17-billion-parameter language model by Microsoft,https://www.microsoft.com/en-us/research/blog/turing-nlg-a-17-billion-parameter-language-model-by-microsoft/,3.40E+01,,1.70E+10,1.6E+22,,3.48E+10,,3.60E+13,,,,,,Next token prediction,,Industry
SimCLR,Drawing,Image completion,"Google Research, Brain Team",Industry,"Ting Chen, Simon Kornblith, Mohammad Norouzi, Geoffrey Hinton",13/02/2020,2020,A Simple Framework for Contrastive Learning of Visual Representations,https://arxiv.org/abs/2002.05709,2.16E+03,Highly cited,3.75E+08,,,,,,,,,,,,,Industry
ProGen,Other,Protein generation,"Salesforce research, Stanford",Industry - Academia Collaboration,"A Madani, B McCann, N Naik, NS Keskar",13/03/2020,2020,ProGen: Language Modeling for Protein Generation,https://www.biorxiv.org/content/10.1101/2020.03.07.982272v2,4.60E+01,,1.20E+09,2.7E+20,,,,,,,,,,,,Industry
ELECTRA,Language,Text autocompletion,"Stanford, Google Brain",Industry - Academia Collaboration,"Kevin Clark, Minh-Thang Luong, Quoc V. Le, Christopher D. Manning",23/03/2020,2020,Electra: pre-training text encoders as discriminators rather than generators,https://arxiv.org/abs/2003.10555v1,8.42E+02,,3.35E+08,,,,,7.90E+10,,,,,,,,Industry
MetNet,Other,Weather prediction,Google,Industry,"Casper Kaae Sønderby, Lasse Espeholt, Jonathan Heek, Mostafa Dehghani, Avital Oliver, Tim Salimans, Shreya Agrawal, Jason Hickey, Nal Kalchbrenner",24/03/2020,2020,MetNet: A Neural Weather Model for Precipitation Forecasting,https://arxiv.org/abs/2003.12140,4.30E+01,,,,,,,,,,,,,,,Industry
Agent57,Games,Atari,DeepMind,Industry,"AP Badia, B Piot, S Kapturowski",30/03/2020,2020,Agent57: Outperforming the Atari Human Benchmark,https://arxiv.org/abs/2003.13350,1.32E+02,,,,,,,,,,,,,,,Industry
,Vision,Person re-identification,"Xiamen University, Australian National University, Carnegie Mellon University",Academia,"Zhun Zhong, Liang Zheng, Guoliang Kang, Shaozi Li, Yi Yang ",03/04/2020,2020, Random Erasing Data Augmentation ,https://arxiv.org/abs/1708.04896,1.42E+03,,,,,,,,,,,,,,,Academia
MobileBERT,Language,Text autocompletion,"Carnegie Mellon University, Google Brain",Industry - Academia Collaboration (Industry leaning),"Zhiqing Sun, Hongkun Yu, Xiaodan Song, Renjie Liu, Yiming Yang, Denny Zhou",06/04/2020,2020,MobileBERT: a Compact Task-Agnostic BERT for Resource-Limited Devices,https://arxiv.org/abs/2004.02984,1.80E+02,,2.53E+07,,,,,5.36E+09,,,,,,,,Industry
CURL,Games,Atari Games,UC Berkeley,Academia,"A Srinivas, M Laskin, P Abbeel",08/04/2020,2020,CURL: Contrastive Unsupervised Representations for Reinforcement Learning,https://arxiv.org/abs/2004.04136v4,1.22E+02,SOTA improvement,9.07E+05,,,,,,,,,,,,,Academia
Go-explore,Games,Atari,"Uber AI, OpenAI",Industry,"A Ecoffet, J Huizinga, J Lehman, KO Stanley, J Clune",27/04/2020,2020,"First return, then explore",https://arxiv.org/abs/2004.12919,4.00E+01,,,,,,,,,,,,,,,Industry
GPT-3 175B,Language,Text autocompletion,OpenAI,Industry,"Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel M. Ziegler, Jeffrey Wu, Clemens Winter, Christopher Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, Dario Amodei",28/04/2020,2020,Language models are Few- Shot Learners,https://arxiv.org/abs/2005.14165,1.53E+03,Highly cited,1.75E+11,3.1E+23,CommonCrawl; WebText2; Books1; Books2; Wikipedia,3.74E+11,,7.40E+14,,,45TB,,,,,Industry
Once for All,Vision,,MIT-IBM Watson AI Lab,Industry,"Han Cai, Chuang Gan, Tianzhe Wang, Zhekai Zhang, and Song Han",29/04/2020,2020,Once for all: Train one network and specialize it for efficient deployment.,https://arxiv.org/abs/1908.09791,3.71E+02,,7.70E+06,1.8E+21,Imagenet,,,,,,,,,,,Industry
SqueezeBERT,Language,Text autocompletion,Berkeley,Academia,"Forrest N. Iandola, Albert E. Shaw, Ravi Krishna, Kurt W. Keutzer",10/06/2020,2020,SqueezeBERT: What can computer vision teach NLP about efficient neural networks?,https://arxiv.org/abs/2006.11316,3.00E+01,,5.11E+07,,,,,7.42E+09,,,,,,,,Academia
iGPT-L,Drawing,Image completion,Open AI,Industry,"Mark Chen, Alec Radford, Rewon Child, Jeff Wu, Heewoo Jun, Prafulla Dhariwal, David Luan, Ilya Sutskever",17/06/2020,2020,Generative Pretraining from Pixels,https://openai.com/blog/image-gpt/,1.82E+02,,1.36E+09,8.9E+21,ILSVRC 2012,9.60E+06,,,,,,,,,,Industry
iGPT-XL,Drawing,Image completion,Open AI,Industry,"Mark Chen, Alec Radford, Rewon Child, Jeff Wu, Heewoo Jun, Prafulla Dhariwal, David Luan, Ilya Sutskever",17/06/2020,2020,Generative Pretraining from Pixels,https://openai.com/blog/image-gpt/,1.82E+02,,6.80E+09,3.3E+22,ILSVRC 2012,9.60E+06,,,,,,,,,,Industry
GShard (600B),Language,Translation,Google Brain,Industry,"Dmitry Lepikhin, HyoukJoong Lee, Yuanzhong Xu, Dehao Chen, Orhan Firat, Yanping Huang, Maxim Krikun, Noam Shazeer, Zhifeng Chen",30/06/2020,2020,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,https://arxiv.org/abs/2006.16668,9.10E+01,,6.00E+11,1.3E+22,,2.60E+11,,,,,,,,,,Industry
GShard (dense),Language,Translation,Google Brain,Industry,"Dmitry Lepikhin, HyoukJoong Lee, Yuanzhong Xu, Dehao Chen, Orhan Firat, Yanping Huang, Maxim Krikun, Noam Shazeer, Zhifeng Chen",30/06/2020,2020,GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,https://arxiv.org/abs/2006.16668,9.10E+01,,2.30E+09,2.6E+22,,2.60E+11,,,,,,,,,,Industry
Hopfield Networks (2020),Other,,"Johannes Kepler University Linz,Institute of Advanced Research in Artificial Intelligence,University of Oslo",Academia,"Hubert Ramsauer, Bernhard Schäfl, Johannes Lehner, Philipp Seidl, Michael Widrich, Thomas Adler, Lukas Gruber, Markus Holzleitner, Milena Pavlović, Geir Kjetil Sandve, Victor Greiff, David Kreil, Michael Kopp, Günter Klambauer, Johannes Brandstetter, Sepp Hochreiter",16/07/2020,2020,Hopfield Networks is All You Need,https://arxiv.org/abs/2008.02217,5.40E+01,,,,,,,,,,,,,,,Academia
EfficientDet,Vision,Object detection,"Google Research, Brain Team",Industry,"Mingxing Tan, Ruoming Pang, Quoc V. Le",27/07/2020,2020,EfficientDet: Scalable and Efficient Object Detection,https://openaccess.thecvf.com/content_CVPR_2020/html/Tan_EfficientDet_Scalable_and_Efficient_Object_Detection_CVPR_2020_paper.html,7.06E+02,,5.20E+07,,,,,3.25E+11,,,,,,,,Industry
ViT-H/14,Vision,Image representation,"Google Research, Brain Team",Industry,"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",28/09/2020,2020,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,https://openreview.net/forum?id=YicbFdNTTy,1.91E+03,Highly cited,,1.3E+22,Imagenet-1k,1.28E+06,,,,,,,,,,Industry
wave2vec 2.0 LARGE,Speech,Speech completion,Facebook,Industry,"Alexei Baevski, Henry Zhou, Abdelrahman Mohamed, Michael Auli",22/10/2020,2020,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,https://arxiv.org/abs/2006.11477,4.10E+02,SOTA Improvement,3.17E+08,4.3E+20,LibriSpeech,4.37E+10,,,,,,,,,,Industry
